target,platform,amount
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,balancer,64371.47
0xcD4722B7c24C29e0413BDCd9e51404B4539D14aE,aura,20216.53
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,31064.78
0x79eF6103A513951a3b25743DB509E267685726B7,aura,9756.22
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,balancer,0.00
0x81C452E84B103555C2Dd2DEc0bFABC0c4d6B3065,aura,0.00
0x01A9502C11f411b494c62746D37e89d6f7078657,balancer,0.00
0x01A9502C11f411b494c62746D37e89d6f7078657,aura,5461.00
0x88D07558470484c03d3bb44c3ECc36CAfCF43253,balancer,2554.13
0x88D07558470484c03d3bb44c3ECc36CAfCF43253,aura,802.15
0xA5A0B6598B90d214eAf4d7a6b72d5a89C3b9A72c,balancer,5968.31
0xA5A0B6598B90d214eAf4d7a6b72d5a89C3b9A72c,aura,1874.41
0x21a3De9292569F599e4cf83c741862705bf4f108,balancer,0.00
0x21a3De9292569F599e4cf83c741862705bf4f108,aura,0.00
0x359EA8618c405023Fc4B98dAb1B01F373792a126,balancer,2886.31
0x359EA8618c405023Fc4B98dAb1B01F373792a126,aura,906.48
0x519cCe718FCD11AC09194CFf4517F12D263BE067,balancer,10439.56
0x519cCe718FCD11AC09194CFf4517F12D263BE067,aura,3278.65
